application_date,segment,case_count,day,year,month,Holiday,Type
2017-11-12,1,82.0,12,2017,11,,
2017-11-13,1,158.0,13,2017,11,,
2017-11-14,1,132.0,14,2017,11,,
2017-11-15,1,79.0,15,2017,11,,
2017-11-16,1,93.0,16,2017,11,,
2017-11-17,1,115.0,17,2017,11,,
2017-11-18,1,123.0,18,2017,11,,
2017-11-19,1,239.0,19,2017,11,,
2017-11-20,1,0.0,20,2017,11,,
2017-11-21,1,139.0,21,2017,11,,
2017-11-22,1,126.0,22,2017,11,,
2017-11-23,1,123.0,23,2017,11,,
2017-11-24,1,124.0,24,2017,11,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
2017-11-25,1,115.0,25,2017,11,,
2017-11-26,1,71.0,26,2017,11,,
2017-11-27,1,131.0,27,2017,11,,
2017-11-28,1,111.0,28,2017,11,,
2017-11-29,1,140.0,29,2017,11,,
2017-11-30,1,449.0,30,2017,11,,
2017-12-01,1,0.0,1,2017,12,,
2017-12-02,1,0.0,2,2017,12,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
2017-12-03,1,11.0,3,2017,12,,
2017-12-04,1,114.0,4,2017,12,,
2017-12-05,1,141.0,5,2017,12,,
2017-12-06,1,127.0,6,2017,12,,
2017-12-07,1,106.0,7,2017,12,,
2017-12-08,1,136.0,8,2017,12,,
2017-12-09,1,107.0,9,2017,12,,
2017-12-10,1,52.0,10,2017,12,,
2017-12-11,1,174.0,11,2017,12,,
2017-12-12,1,162.0,12,2017,12,,
2017-12-13,1,166.0,13,2017,12,First Day of Hanukkah,Observance
2017-12-14,1,145.0,14,2017,12,,
2017-12-15,1,165.0,15,2017,12,,
2017-12-16,1,90.0,16,2017,12,,
2017-12-17,1,105.0,17,2017,12,,
2017-12-18,1,236.0,18,2017,12,,
2017-12-19,1,163.0,19,2017,12,,
2017-12-20,1,216.0,20,2017,12,Last day of Hanukkah,Observance
2017-12-21,1,104.0,21,2017,12,December Solstice,Season
2017-12-22,1,84.0,22,2017,12,,
2017-12-23,1,144.0,23,2017,12,,
2017-12-24,1,98.0,24,2017,12,Christmas Eve,Restricted Holiday
2017-12-25,1,120.0,25,2017,12,Christmas,Gazetted Holiday
2017-12-25,1,120.0,25,2017,12,Guru Govind Singh Jayanti,Observance
2017-12-26,1,178.0,26,2017,12,,
2017-12-27,1,160.0,27,2017,12,,
2017-12-28,1,156.0,28,2017,12,,
2017-12-29,1,210.0,29,2017,12,,
2017-12-30,1,174.0,30,2017,12,,
2017-12-31,1,925.0,31,2017,12,New Year's Eve,Observance
2018-01-01,1,81.0,1,2018,1,New Year's Day,Restricted Holiday
2018-01-02,1,0.0,2,2018,1,,
2018-01-03,1,0.0,3,2018,1,,
2018-01-04,1,0.0,4,2018,1,,
2018-01-05,1,130.0,5,2018,1,,
2018-01-06,1,89.0,6,2018,1,,
2018-01-08,1,0.0,8,2018,1,,
2018-01-09,1,125.0,9,2018,1,,
2018-01-10,1,133.0,10,2018,1,,
2018-01-11,1,117.0,11,2018,1,,
2018-01-12,1,148.0,12,2018,1,,
2018-01-13,1,123.0,13,2018,1,,
2018-01-14,1,113.0,14,2018,1,Pongal,Restricted Holiday
2018-01-14,1,113.0,14,2018,1,Makar Sankranti,Restricted Holiday
2018-01-15,1,176.0,15,2018,1,,
2018-01-16,1,161.0,16,2018,1,,
2018-01-17,1,176.0,17,2018,1,,
2018-01-18,1,131.0,18,2018,1,,
2018-01-19,1,195.0,19,2018,1,,
2018-01-20,1,178.0,20,2018,1,,
2018-01-21,1,148.0,21,2018,1,,
2018-01-22,1,143.0,22,2018,1,Vasant Panchami,Restricted Holiday
2018-01-23,1,188.0,23,2018,1,,
2018-01-24,1,151.0,24,2018,1,,
2018-01-25,1,128.0,25,2018,1,,
2018-01-26,1,67.0,26,2018,1,Republic Day,Gazetted Holiday
2018-01-27,1,129.0,27,2018,1,,
2018-01-28,1,105.0,28,2018,1,,
2018-01-29,1,163.0,29,2018,1,,
2018-01-30,1,162.0,30,2018,1,,
2018-01-31,1,667.0,31,2018,1,Guru Ravidas Jayanti,Restricted Holiday
2018-02-01,1,65.0,1,2018,2,,
2018-02-02,1,0.0,2,2018,2,,
2018-02-03,1,0.0,3,2018,2,,
2018-02-05,1,167.0,5,2018,2,,
2018-02-06,1,185.0,6,2018,2,,
2018-02-07,1,176.0,7,2018,2,,
2018-02-08,1,127.0,8,2018,2,,
2018-02-09,1,176.0,9,2018,2,,
2018-02-10,1,153.0,10,2018,2,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
2018-02-11,1,106.0,11,2018,2,,
2018-02-12,1,179.0,12,2018,2,,
2018-02-13,1,195.0,13,2018,2,,
2018-02-14,1,227.0,14,2018,2,Maha Shivaratri/Shivaratri,Gazetted Holiday
2018-02-14,1,227.0,14,2018,2,Valentine's Day,Observance
2018-02-15,1,144.0,15,2018,2,,
2018-02-16,1,194.0,16,2018,2,Chinese New Year,Observance
2018-02-17,1,145.0,17,2018,2,,
2018-02-18,1,123.0,18,2018,2,,
2018-02-19,1,149.0,19,2018,2,Shivaji Jayanti,Restricted Holiday
2018-02-20,1,156.0,20,2018,2,,
2018-02-21,1,184.0,21,2018,2,,
2018-02-22,1,157.0,22,2018,2,,
2018-02-23,1,194.0,23,2018,2,,
2018-02-24,1,164.0,24,2018,2,,
2018-02-25,1,125.0,25,2018,2,,
2018-02-26,1,211.0,26,2018,2,,
2018-02-27,1,176.0,27,2018,2,,
2018-02-28,1,715.0,28,2018,2,,
2018-03-01,1,2.0,1,2018,3,Holika Dahana,Restricted Holiday
2018-03-03,1,0.0,3,2018,3,,
2018-03-05,1,241.0,5,2018,3,,
2018-03-06,1,180.0,6,2018,3,,
2018-03-07,1,178.0,7,2018,3,,
2018-03-08,1,169.0,8,2018,3,,
2018-03-09,1,201.0,9,2018,3,,
2018-03-10,1,172.0,10,2018,3,,
2018-03-11,1,136.0,11,2018,3,,
2018-03-12,1,243.0,12,2018,3,,
2018-03-13,1,217.0,13,2018,3,,
2018-03-14,1,221.0,14,2018,3,,
2018-03-15,1,158.0,15,2018,3,,
2018-03-16,1,225.0,16,2018,3,,
2018-03-17,1,173.0,17,2018,3,,
2018-03-18,1,166.0,18,2018,3,Chaitra Sukhladi,Restricted Holiday
2018-03-19,1,244.0,19,2018,3,,
2018-03-20,1,220.0,20,2018,3,March Equinox,Season
2018-03-21,1,197.0,21,2018,3,,
2018-03-22,1,196.0,22,2018,3,,
2018-03-23,1,214.0,23,2018,3,,
2018-03-24,1,200.0,24,2018,3,,
2018-03-25,1,183.0,25,2018,3,Rama Navami,Restricted Holiday
2018-03-26,1,249.0,26,2018,3,,
2018-03-27,1,209.0,27,2018,3,,
2018-03-28,1,255.0,28,2018,3,,
2018-03-29,1,187.0,29,2018,3,Maundy Thursday,"Observance, Christian"
2018-03-29,1,187.0,29,2018,3,Mahavir Jayanti,Gazetted Holiday
2018-03-30,1,233.0,30,2018,3,Good Friday,Gazetted Holiday
2018-03-31,1,1657.0,31,2018,3,First day of Passover,Observance
2018-04-01,1,0.0,1,2018,4,Hazarat Ali's Birthday,Restricted Holiday
2018-04-01,1,0.0,1,2018,4,Easter Day,Restricted Holiday
2018-04-02,1,0.0,2,2018,4,,
2018-04-03,1,0.0,3,2018,4,,
2018-04-04,1,0.0,4,2018,4,,
2018-04-05,1,0.0,5,2018,4,,
2018-04-06,1,0.0,6,2018,4,,
2018-04-07,1,0.0,7,2018,4,,
2018-04-08,1,4.0,8,2018,4,,
2018-04-09,1,405.0,9,2018,4,,
2018-04-10,1,3.0,10,2018,4,,
2018-04-11,1,256.0,11,2018,4,,
2018-04-12,1,198.0,12,2018,4,,
2018-04-13,1,232.0,13,2018,4,,
2018-04-14,1,241.0,14,2018,4,Vaisakhi,Restricted Holiday
2018-04-14,1,241.0,14,2018,4,Ambedkar Jayanti,Gazetted Holiday
2018-04-15,1,348.0,15,2018,4,Mesadi/Vaisakhadi,Restricted Holiday
2018-04-16,1,278.0,16,2018,4,,
2018-04-17,1,231.0,17,2018,4,,
2018-04-18,1,224.0,18,2018,4,,
2018-04-19,1,195.0,19,2018,4,,
2018-04-20,1,207.0,20,2018,4,,
2018-04-21,1,167.0,21,2018,4,,
2018-04-22,1,147.0,22,2018,4,,
2018-04-23,1,228.0,23,2018,4,,
2018-04-24,1,209.0,24,2018,4,,
2018-04-25,1,220.0,25,2018,4,,
2018-04-26,1,188.0,26,2018,4,,
2018-04-27,1,199.0,27,2018,4,,
2018-04-28,1,183.0,28,2018,4,,
2018-04-29,1,164.0,29,2018,4,,
2018-04-30,1,305.0,30,2018,4,Buddha Purnima/Vesak,Gazetted Holiday
2018-05-01,1,1.0,1,2018,5,May Day,Observance
2018-05-02,1,208.0,2,2018,5,,
2018-05-03,1,184.0,3,2018,5,,
2018-05-04,1,197.0,4,2018,5,,
2018-05-05,1,182.0,5,2018,5,,
2018-05-06,1,154.0,6,2018,5,,
2018-05-07,1,255.0,7,2018,5,,
2018-05-08,1,201.0,8,2018,5,,
2018-05-09,1,227.0,9,2018,5,Birthday of Ravindranath,Restricted Holiday
2018-05-10,1,162.0,10,2018,5,,
2018-05-11,1,170.0,11,2018,5,,
2018-05-12,1,183.0,12,2018,5,,
2018-05-13,1,114.0,13,2018,5,Mother's Day,Observance
2018-05-14,1,122.0,14,2018,5,,
2018-05-15,1,218.0,15,2018,5,,
2018-05-16,1,207.0,16,2018,5,,
2018-05-17,1,154.0,17,2018,5,,
2018-05-18,1,180.0,18,2018,5,,
2018-05-19,1,177.0,19,2018,5,,
2018-05-20,1,169.0,20,2018,5,,
2018-05-21,1,256.0,21,2018,5,,
2018-05-22,1,174.0,22,2018,5,,
2018-05-23,1,191.0,23,2018,5,,
2018-05-24,1,194.0,24,2018,5,,
2018-05-25,1,201.0,25,2018,5,,
2018-05-26,1,162.0,26,2018,5,,
2018-05-27,1,182.0,27,2018,5,,
2018-05-28,1,234.0,28,2018,5,,
2018-05-29,1,191.0,29,2018,5,,
2018-05-30,1,236.0,30,2018,5,,
2018-05-31,1,341.0,31,2018,5,,
2018-06-01,1,20.0,1,2018,6,,
2018-06-02,1,215.0,2,2018,6,,
2018-06-03,1,180.0,3,2018,6,,
2018-06-04,1,308.0,4,2018,6,,
2018-06-05,1,322.0,5,2018,6,,
2018-06-06,1,289.0,6,2018,6,,
2018-06-07,1,245.0,7,2018,6,,
2018-06-08,1,268.0,8,2018,6,,
2018-06-09,1,260.0,9,2018,6,,
2018-06-10,1,315.0,10,2018,6,,
2018-06-11,1,322.0,11,2018,6,,
2018-06-12,1,314.0,12,2018,6,,
2018-06-13,1,515.0,13,2018,6,,
2018-06-14,1,523.0,14,2018,6,,
2018-06-15,1,643.0,15,2018,6,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
2018-06-15,1,643.0,15,2018,6,Jamat Ul-Vida,Restricted Holiday
2018-06-16,1,198.0,16,2018,6,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
2018-06-17,1,198.0,17,2018,6,Father's Day,Observance
2018-06-18,1,341.0,18,2018,6,,
2018-06-19,1,207.0,19,2018,6,,
2018-06-20,1,279.0,20,2018,6,,
2018-06-21,1,218.0,21,2018,6,June Solstice,Season
2018-06-22,1,284.0,22,2018,6,,
2018-06-23,1,202.0,23,2018,6,,
2018-06-24,1,141.0,24,2018,6,,
2018-06-25,1,190.0,25,2018,6,,
2018-06-26,1,134.0,26,2018,6,,
2018-06-27,1,199.0,27,2018,6,,
2018-06-28,1,191.0,28,2018,6,,
2018-06-29,1,166.0,29,2018,6,,
2018-06-30,1,321.0,30,2018,6,,
2018-07-01,1,3.0,1,2018,7,,
2018-07-02,1,142.0,2,2018,7,,
2018-07-03,1,154.0,3,2018,7,,
2018-07-04,1,134.0,4,2018,7,,
2018-07-05,1,98.0,5,2018,7,,
2018-07-06,1,84.0,6,2018,7,,
2018-07-07,1,80.0,7,2018,7,,
2018-07-08,1,59.0,8,2018,7,,
2018-07-09,1,114.0,9,2018,7,,
2018-07-10,1,122.0,10,2018,7,,
2018-07-11,1,121.0,11,2018,7,,
2018-07-12,1,80.0,12,2018,7,,
2018-07-13,1,96.0,13,2018,7,,
2018-07-14,1,95.0,14,2018,7,Rath Yatra,Restricted Holiday
2018-07-15,1,60.0,15,2018,7,,
2018-07-16,1,102.0,16,2018,7,,
2018-07-17,1,95.0,17,2018,7,,
2018-07-18,1,92.0,18,2018,7,,
2018-07-19,1,69.0,19,2018,7,,
2018-07-20,1,89.0,20,2018,7,,
2018-07-21,1,60.0,21,2018,7,,
2018-07-22,1,44.0,22,2018,7,,
2018-07-23,1,83.0,23,2018,7,,
2018-07-24,1,96.0,24,2018,7,,
2018-07-25,1,82.0,25,2018,7,,
2018-07-26,1,34.0,26,2018,7,,
2018-07-27,1,92.0,27,2018,7,Guru Purnima,Observance
2018-07-28,1,54.0,28,2018,7,,
2018-07-29,1,59.0,29,2018,7,,
2018-07-30,1,109.0,30,2018,7,,
2018-07-31,1,102.0,31,2018,7,,
2018-08-01,1,51.0,1,2018,8,,
2018-08-02,1,0.0,2,2018,8,,
2018-08-03,1,64.0,3,2018,8,,
2018-08-04,1,61.0,4,2018,8,,
2018-08-05,1,44.0,5,2018,8,Friendship Day,Observance
2018-08-06,1,90.0,6,2018,8,,
2018-08-07,1,64.0,7,2018,8,,
2018-08-08,1,48.0,8,2018,8,,
2018-08-09,1,51.0,9,2018,8,,
2018-08-10,1,58.0,10,2018,8,,
2018-08-11,1,69.0,11,2018,8,,
2018-08-12,1,45.0,12,2018,8,,
2018-08-13,1,88.0,13,2018,8,,
2018-08-14,1,62.0,14,2018,8,,
2018-08-15,1,26.0,15,2018,8,Independence Day,Gazetted Holiday
2018-08-16,1,61.0,16,2018,8,,
2018-08-17,1,72.0,17,2018,8,Parsi New Year,Restricted Holiday
2018-08-18,1,55.0,18,2018,8,,
2018-08-19,1,33.0,19,2018,8,,
2018-08-20,1,78.0,20,2018,8,,
2018-08-21,1,92.0,21,2018,8,,
2018-08-22,1,51.0,22,2018,8,Bakr Id/Eid ul-Adha,Gazetted Holiday
2018-08-23,1,51.0,23,2018,8,,
2018-08-24,1,70.0,24,2018,8,,
2018-08-25,1,60.0,25,2018,8,Onam,Restricted Holiday
2018-08-26,1,37.0,26,2018,8,Raksha Bandhan (Rakhi),Restricted Holiday
2018-08-27,1,82.0,27,2018,8,,
2018-08-28,1,55.0,28,2018,8,,
2018-08-29,1,57.0,29,2018,8,,
2018-08-30,1,66.0,30,2018,8,,
2018-08-31,1,93.0,31,2018,8,,
2018-09-01,1,27.0,1,2018,9,,
2018-09-02,1,0.0,2,2018,9,,
2018-09-03,1,53.0,3,2018,9,Janmashtami,Gazetted Holiday
2018-09-03,1,53.0,3,2018,9,Janmashtami (Smarta),Observance
2018-09-04,1,60.0,4,2018,9,,
2018-09-05,1,65.0,5,2018,9,,
2018-09-06,1,57.0,6,2018,9,,
2018-09-07,1,45.0,7,2018,9,,
2018-09-08,1,55.0,8,2018,9,,
2018-09-09,1,40.0,9,2018,9,,
2018-09-10,1,69.0,10,2018,9,,
2018-09-11,1,167.0,11,2018,9,,
2018-09-12,1,264.0,12,2018,9,,
2018-09-13,1,200.0,13,2018,9,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
2018-09-14,1,177.0,14,2018,9,,
2018-09-15,1,173.0,15,2018,9,,
2018-09-16,1,211.0,16,2018,9,,
2018-09-17,1,100.0,17,2018,9,,
2018-09-18,1,184.0,18,2018,9,,
2018-09-19,1,185.0,19,2018,9,,
2018-09-20,1,115.0,20,2018,9,,
2018-09-21,1,122.0,21,2018,9,Muharram/Ashura,Gazetted Holiday
2018-09-22,1,113.0,22,2018,9,,
2018-09-23,1,114.0,23,2018,9,September Equinox,Season
2018-09-24,1,135.0,24,2018,9,,
2018-09-25,1,126.0,25,2018,9,,
2018-09-26,1,114.0,26,2018,9,,
2018-09-27,1,120.0,27,2018,9,,
2018-09-28,1,184.0,28,2018,9,,
2018-09-29,1,200.0,29,2018,9,,
2018-09-30,1,409.0,30,2018,9,,
2018-10-01,1,206.0,1,2018,10,,
2018-10-02,1,1.0,2,2018,10,Mahatma Gandhi Jayanti,Gazetted Holiday
2018-10-03,1,205.0,3,2018,10,,
2018-10-04,1,175.0,4,2018,10,,
2018-10-05,1,228.0,5,2018,10,,
2018-10-06,1,163.0,6,2018,10,,
2018-10-07,1,263.0,7,2018,10,,
2018-10-08,1,272.0,8,2018,10,,
2018-10-09,1,231.0,9,2018,10,,
2018-10-10,1,262.0,10,2018,10,,
2018-10-11,1,260.0,11,2018,10,,
2018-10-12,1,289.0,12,2018,10,,
2018-10-13,1,291.0,13,2018,10,,
2018-10-14,1,468.0,14,2018,10,,
2018-10-15,1,463.0,15,2018,10,,
2018-10-16,1,346.0,16,2018,10,Maha Saptami,Restricted Holiday
2018-10-17,1,151.0,17,2018,10,Maha Ashtami,Restricted Holiday
2018-10-18,1,68.0,18,2018,10,Maha Navami,Restricted Holiday
2018-10-19,1,28.0,19,2018,10,Dussehra,Gazetted Holiday
2018-10-20,1,145.0,20,2018,10,,
